Категория;Подкатегория;Конкретный навык;Тип навыка;Моя оценка (1-5);Дата оценки;Примечания
Computer Science;Структуры данных;Базовые структуры: массивы, списки, стек, очередь, словарь. Понимание отличий и применения;Хард;;
Computer Science;Структуры данных;Понимание принципа работы хеш-таблиц и коллизий;Хард;;
Computer Science;Структуры данных;Базовое понимание деревьев (для иерархий, индексов БД);Хард;;
Computer Science;Структуры данных;Аргументированный выбор структуры данных под задачу;Софт;;
Computer Science;Структуры данных;Анализ сложности (время доступа, использование памяти);Софт;;
Computer Science;Алгоритмы;Линейный и бинарный поиск. Понимание основных сортировок;Хард;;
Computer Science;Алгоритмы;Понимание нотации Big O (O(1), O(n), O(log n), O(n²));Хард;;
Computer Science;Алгоритмы;Оптимизационное мышление (оценка эффективности);Софт;;
Computer Science;Алгоритмы;Декомпозиция задачи на алгоритмические шаги;Софт;;
Computer Science;Архитектура & Паттерны;Понимание и применение принципов SOLID;Хард;;
Computer Science;Архитектура & Паттерны;Знание базовых паттернов (Фабрика, Репозиторий, Наблюдатель);Хард;;
Computer Science;Архитектура & Паттерны;Порождающие паттерны: Singleton, Builder, Prototype;Хард;;
Computer Science;Архитектура & Паттерны;Структурные паттерны: Adapter, Decorator, Facade;Хард;;
Computer Science;Архитектура & Паттерны;Поведенческие паттерны: Strategy, Command, Iterator;Хард;;
Computer Science;Архитектура & Паттерны;Паттерны корпоративных приложений: Unit of Work, Identity Map;Хард;;
Computer Science;Архитектура & Паттерны;Абстрактное мышление и применение известных шаблонов;Софт;;
Язык C# и .NET;Основы C#;Синтаксис: переменные, операторы, управляющие конструкции;Хард;;
Язык C# и .NET;Основы C#;ООП: создание классов, инкапсуляция, наследование, полиморфизм;Хард;;
Язык C# и .NET;Основы C#;Работа с исключениями (try-catch-finally, пользовательские исключения);Хард;;
Язык C# и .NET;Основы C#;Читаемость кода (соглашения об именовании);Софт;;
Язык C# и .NET;Продвинутые возможности C#;LINQ (запросы и методы расширений);Хард;;
Язык C# и .NET;Продвинутые возможности C#;Асинхронность (async/await, Task);Хард;;
Язык C# и .NET;Продвинутые возможности C#;Рефлексия, атрибуты;Хард;;
Язык C# и .NET;Продвинутые возможности C#;Generics, ковариантность и контравариантность;Хард;;
Язык C# и .NET;Продвинутые возможности C#;Оптимизация (память, производительность);Софт;;
Язык C# и .NET;GUI (WPF / Avalonia);XAML: базовая разметка, панели компоновки (StackPanel, Grid);Хард;;
Язык C# и .NET;GUI (WPF / Avalonia);Data Binding (привязка к свойствам ViewModel, режимы);Хард;;
Язык C# и .NET;GUI (WPF / Avalonia);Команды (ICommand, ReactiveCommand);Хард;;
Язык C# и .NET;GUI (WPF / Avalonia);Стили, триггеры, шаблоны элементов управления;Хард;;
Язык C# и .NET;GUI (WPF / Avalonia);Навигация между окнами/страницами;Хард;;
Язык C# и .NET;GUI (WPF / Avalonia);UX-мышление и разделение логики (MVVM);Софт;;
Язык C# и .NET;Доступ к данным в .NET;ADO.NET (SqlConnection, SqlCommand, SqlDataReader);Хард;;
Язык C# и .NET;Доступ к данным в .NET;Dapper (установка, Query<T>, Execute);Хард;;
Язык C# и .NET;Доступ к данным в .NET;Entity Framework Core (DbContext, миграции, LINQ-запросы);Хард;;
Язык C# и .NET;Доступ к данным в .NET;Выбор инструмента под задачу (Dapper vs EF Core);Софт;;
Язык C# и .NET;Тестирование;Написание юнит-тестов (xUnit/NUnit);Хард;;
Язык C# и .NET;Тестирование;Использование mock-объектов (Moq, NSubstitute);Хард;;
Язык C# и .NET;Тестирование;Интеграционное тестирование;Хард;;
Язык C# и .NET;Тестирование;TDD (разработка через тестирование);Софт;;
Язык C# и .NET;ASP.NET Core;Создание Web API (контроллеры, маршрутизация);Хард;;
Язык C# и .NET;ASP.NET Core;Middleware и конвейер обработки запросов;Хард;;
Язык C# и .NET;ASP.NET Core;Внедрение зависимостей (DI);Хард;;
Язык C# и .NET;ASP.NET Core;Аутентификация и авторизация (JWT, Identity);Хард;;
Язык C# и .NET;ASP.NET Core;Работа с базами данных через EF Core в ASP.NET;Хард;;
Язык C# и .NET;ASP.NET Core;Razor Pages / MVC;Хард;;
Язык C# и .NET;Документирование в C#;XML-комментарии для публичных API (summary, param, returns);Хард;;
Язык C# и .NET;Документирование в C#;Генерация документации (DocFX);Хард;;
Язык C# и .NET;Документирование в C#;Документирование REST API (Swagger/OpenAPI в ASP.NET Core);Хард;;
Базы данных: SQL & СУБД;Основы SQL;DDL (CREATE/ALTER TABLE, ключи);Хард;;
Базы данных: SQL & СУБД;Основы SQL;DML (SELECT с JOIN, GROUP BY; INSERT, UPDATE, DELETE);Хард;;
Базы данных: SQL & СУБД;Основы SQL;Транзакции (ACID, BEGIN, COMMIT, ROLLBACK);Хард;;
Базы данных: SQL & СУБД;Основы SQL;Индексы, анализ плана запроса (EXPLAIN);Хард;;
Базы данных: SQL & СУБД;Основы SQL;Мышление множествами (составление запросов);Софт;;
Базы данных: SQL & СУБД;PostgreSQL;Особенности типов данных (JSONB, массивы);Хард;;
Базы данных: SQL & СУБД;PostgreSQL;Полнотекстовый поиск (tsvector, tsquery);Хард;;
Базы данных: SQL & СУБД;PostgreSQL;Расширения (PostGIS, pgcrypto);Хард;;
Базы данных: SQL & СУБД;PostgreSQL;Настройка производительности (VACUUM, ANALYZE);Хард;;
Базы данных: SQL & СУБД;PostgreSQL;Документирование схемы (комментарии к таблицам и колонкам);Софт;;
Базы данных: SQL & СУБД;MySQL;Особенности хранения (InnoDB vs MyISAM);Хард;;
Базы данных: SQL & СУБД;MySQL;Репликация и партиционирование;Хард;;
Базы данных: SQL & СУБД;MySQL;Оптимизация запросов (EXPLAIN в MySQL);Хард;;
Базы данных: SQL & СУБД;MySQL;Документирование схемы;Софт;;
Базы данных: SQL & СУБД;SQLite;Встраиваемая БД, особенности использования;Хард;;
Базы данных: SQL & СУБД;SQLite;Работа с SQLite в мобильных и десктопных приложениях;Хард;;
Веб-разработка;HTML/CSS;Семантическая вёрстка, доступность;Хард;;
Веб-разработка;HTML/CSS;Flexbox и Grid Layout;Хард;;
Веб-разработка;HTML/CSS;Адаптивная вёрстка (медиа-запросы);Хард;;
Веб-разработка;HTML/CSS;Препроцессоры (Sass, Less);Хард;;
Веб-разработка;JavaScript;Основы синтаксиса, типы данных, функции;Хард;;
Веб-разработка;JavaScript;DOM-манипуляции и события;Хард;;
Веб-разработка;JavaScript;Асинхронность (Promise, async/await);Хард;;
Веб-разработка;JavaScript;Fetch API и работа с REST;Хард;;
Веб-разработка;JavaScript;Модули (ES6 modules);Хард;;
Веб-разработка;JavaScript;Документирование JavaScript (JSDoc: @param, @returns, @throws);Хард;;
Веб-разработка;JavaScript;Генерация документации (JSDoc, TypeDoc для TypeScript);Хард;;
Веб-разработка;PHP;Основы синтаксиса, работа с формами;Хард;;
Веб-разработка;PHP;Сессии и куки;Хард;;
Веб-разработка;PHP;Подключение к БД (MySQLi, PDO);Хард;;
Веб-разработка;PHP;Основы ООП в PHP;Хард;;
Веб-разработка;PHP;Документирование PHP (PHPDoc: @param, @return, @throws);Хард;;
Веб-разработка;PHP;Инструменты: phpDocumentor, Doxygen;Хард;;
Мобильная разработка;Android (Kotlin);Основы языка Kotlin (синтаксис, null safety, корутины);Хард;;
Мобильная разработка;Android (Kotlin);Android SDK (Activity, Fragment, жизненный цикл);Хард;;
Мобильная разработка;Android (Kotlin);Jetpack Compose (composable-функции, state, модификаторы);Хард;;
Мобильная разработка;Android (Kotlin);Навигация в Compose;Хард;;
Мобильная разработка;Android (Kotlin);Архитектурные компоненты (ViewModel, LiveData/Flow);Хард;;
Мобильная разработка;Android (Kotlin);Работа с сетью (Retrofit, Kotlin Serialization);Хард;;
Мобильная разработка;Android (Kotlin);Базы данных (Room);Хард;;
Мобильная разработка;Android (Kotlin);DI (Dagger, Hilt);Хард;;
Мобильная разработка;Android (Kotlin);Тестирование на Android;Хард;;
Мобильная разработка;Android (Kotlin);Документирование Kotlin (KDoc, Dokka);Хард;;
Контейнеризация;Docker;Основные команды (docker run, build, push);Хард;;
Контейнеризация;Docker;Создание Dockerfile, оптимизация слоёв;Хард;;
Контейнеризация;Docker;Docker Compose (запуск многоконтейнерных приложений);Хард;;
Контейнеризация;Docker;Сетевое взаимодействие контейнеров;Хард;;
Контейнеризация;Docker;Volumes и работа с данными;Хард;;
Контейнеризация;Docker;CI/CD интеграция (GitLab CI, GitHub Actions);Софт;;
Контейнеризация;Docker;Документирование Docker-образов (docker inspect, labels);Софт;;
Инструменты: Git;Базовые команды;init, clone, add, commit, push, pull;Хард;;
Инструменты: Git;Базовые команды;Ветвление и слияние (branch, merge, разрешение конфликтов);Хард;;
Инструменты: Git;Базовые команды;Осмысленные коммиты (понятные сообщения);Софт;;
Инструменты: Git;Базовые команды;Командная работа (работа с общим репозиторием, pull requests);Софт;;
Взаимодействие в команде;Навыки коммуникации;Участие в код-ревью: давать конструктивную обратную связь;Софт;;
Взаимодействие в команде;Навыки коммуникации;Участие в код-ревью: принимать замечания и анализировать;Софт;;
Взаимодействие в команде;Навыки коммуникации;Совместная разработка в Git (ветки, мерж-реквесты);Софт;;
Взаимодействие в команде;Навыки коммуникации;Ясная устная и письменная коммуникация;Софт;;
Взаимодействие в команде;Навыки коммуникации;Работа по Agile/Scrum: роли, стендапы, оценка задач;Софт;;
Взаимодействие в команде;Навыки коммуникации;Менторство и обмен знаниями;Софт;;
Профессиональные практики;Общие практики;Отладка (точки останова, пошаговое выполнение);Хард;;
Профессиональные практики;Общие практики;Профилирование и оптимизация производительности;Хард;;
Профессиональные практики;Общие практики;Проактивность (самостоятельный поиск и исправление ошибок);Софт;;
Профессиональные практики;Общие практики;Восприятие обратной связи и работа над собой;Софт;;
Профессиональные практики;Общие практики;Документирование кода (общие принципы) и создание инструкций;Софт;;